"","Line","Treatment","Erythrocytic.cycle.number","N","Parasitaemia","sd","se","ci"
"1","p230p","RAP-",0,3,0.146666666666667,0.0960902353693305,0.0554777232569775,0.238701377411919
"2","p230p","RAP-",1,3,0.39,0.121655250605964,0.0702376916856849,0.302208395862713
"3","p230p","RAP-",2,3,1.51333333333333,0.187171935218219,0.108063767182982,0.464960862856869
"4","p230p","RAP-",3,3,9.96666666666667,0.802080627701065,0.463081466314994,1.99247873513659
"5","p230p","RAP+",0,3,0.13,0.0692820323027551,0.04,0.172106109189978
"6","p230p","RAP+",1,3,0.33,0.155884572681199,0.09,0.387238745677452
"7","p230p","RAP+",2,3,1.20666666666667,0.182300118851671,0.105251022692313,0.452858600096003
"8","p230p","RAP+",3,3,10.1666666666667,0.776745346515403,0.448454134902457,1.92954240770549
"9","piplc","RAP-",0,3,0.057,0.0403360880601974,0.0232880512996114,0.100200397494819
"10","piplc","RAP-",1,3,0.523333333333333,0.0513160143944688,0.0296273147243853,0.127476046574023
"11","piplc","RAP-",2,3,2.88333333333333,0.691761037738708,0.399388421353338,1.71842968136627
"12","piplc","RAP-",3,3,11.2833333333333,5.05329925230372,2.91752368361329,12.5530912414074
"13","piplc","RAP+",0,3,0.051,0.01,0.00577350269189626,0.0248413771175033
"14","piplc","RAP+",1,3,0.123333333333333,0.0208166599946613,0.0120185042515466,0.0517114501254226
"15","piplc","RAP+",2,3,0.43,0.295127091267474,0.170391705588427,0.733136337176714
"16","piplc","RAP+",3,3,1.75666666666667,1.28593675323996,0.742435930643925,3.19444398364917
"17","rom1","RAP-",0,3,0.034,0.0121243556529821,0.007,0.0301185691082462
"18","rom1","RAP-",1,3,0.596666666666667,0.00577350269189626,0.00333333333333334,0.0143421757658316
"19","rom1","RAP-",2,3,3.73666666666667,1.16663333285713,0.673556068770654,2.89807785793537
"20","rom1","RAP-",3,3,15.25,4.81430161082581,2.77953833097033,11.9593881871928
"21","rom1","RAP+",0,3,0.044,0.0256320112359526,0.0147986485869487,0.063673445739238
"22","rom1","RAP+",1,3,0.65,0.0458257569495584,0.0264575131106459,0.113837491007903
"23","rom1","RAP+",2,3,3.42,0.871091269615303,0.502924779001128,2.16391067322785
"24","rom1","RAP+",3,3,14.18,8.42064130574388,4.86165952462051,20.9180326247209
"25","rom10","RAP-",0,3,0.044,0.0310966236109324,0.0179536440126603,0.077248295420023
"26","rom10","RAP-",1,3,0.363333333333333,0.0251661147842358,0.0145296631451356,0.0625160947937577
"27","rom10","RAP-",2,3,4.17666666666667,0.150443787951957,0.0868587614719692,0.373723087150025
"28","rom10","RAP-",3,3,22.8333333333333,1.60104132780304,0.924361641590803,3.97720714046636
"29","rom10","RAP+",0,3,0.0476666666666667,0.0152752523165195,0.00881917103688197,0.0379458303359676
"30","rom10","RAP+",1,3,0.293333333333333,0.0838649708360608,0.0484194634877798,0.2083321367487
"31","rom10","RAP+",2,3,3.15666666666667,0.162583311976763,0.0938675189355248,0.403879336582745
"32","rom10","RAP+",3,3,18.7333333333333,0.230940107675849,0.133333333333333,0.57368703063326
"33","rom3","RAP-",0,3,0.0876666666666667,0.00577350269189625,0.00333333333333333,0.0143421757658315
"34","rom3","RAP-",1,3,1.13,0.160934769394311,0.0929157324317757,0.39978412978425
"35","rom3","RAP-",2,3,9.75666666666667,1.51447460636794,0.874382321667384,3.76216348316684
"36","rom3","RAP-",3,3,28.5666666666667,4.60144904712997,2.65664784602284,11.4306331066732
"37","rom3","RAP+",0,3,0.0903333333333333,0.0452806065919322,0.0261427704049216,0.112483262445949
"38","rom3","RAP+",1,3,1.32333333333333,0.312143129562919,0.180215919878844,0.775406519611017
"39","rom3","RAP+",2,3,10.3866666666667,1.59453232433003,0.920603666683503,3.96103787947314
"40","rom3","RAP+",3,3,25.6666666666667,6.77150894065225,3.90953250970553,16.8213607249288
"41","rom4","RAP-",0,3,0.136666666666667,0.0305505046330389,0.0176383420737639,0.0758916606719352
"42","rom4","RAP-",1,3,0.696666666666667,0.150443787951957,0.0868587614719692,0.373723087150026
"43","rom4","RAP-",2,3,6.69,0.680367547726962,0.392810386828047,1.69012668315964
"44","rom4","RAP-",3,3,33.6,0.624499799839838,0.360555127546398,1.55134350376267
"45","rom4","RAP+",0,3,0.15,0.0173205080756888,0.01,0.0430265272974946
"46","rom4","RAP+",1,3,0.193333333333333,0.0642910050732864,0.0371184290855335,0.159707710228882
"47","rom4","RAP+",2,3,0.213333333333333,0.0378593889720018,0.02185812841434,0.0940479358891743
"48","rom4","RAP+",3,3,0.423333333333333,0.0378593889720018,0.02185812841434,0.0940479358891743
"49","rom8","RAP-",0,3,0.0876666666666667,0.0370720020140986,0.0214035303422382,0.0920919582533066
"50","rom8","RAP-",1,3,0.503333333333333,0.0472581562625261,0.0272845092395748,0.117395768159531
"51","rom8","RAP-",2,3,4.76333333333333,0.185022521151706,0.106822802393081,0.459621422316075
"52","rom8","RAP-",3,3,27.7666666666667,1.26622799421484,0.731057073315377,3.14548471210306
"53","rom8","RAP+",0,3,0.143333333333333,0.0404145188432738,0.0233333333333333,0.100395230360821
"54","rom8","RAP+",1,3,0.126666666666667,0.0305505046330389,0.0176383420737639,0.0758916606719352
"55","rom8","RAP+",2,3,0.041,0.01,0.00577350269189626,0.0248413771175033
"56","rom8","RAP+",3,3,0.117666666666667,0.0235867194271127,0.0136177988105437,0.0585926592253647
"57","rom9","RAP-",0,3,0.126666666666667,0.0115470053837925,0.00666666666666667,0.0286843515316631
"58","rom9","RAP-",1,3,1.62,0.243310501211929,0.14047538337137,0.604416791725427
"59","rom9","RAP-",2,3,12.0333333333333,1.44337567297406,0.833333333333333,3.58554394145789
"60","rom9","RAP-",3,3,28.3333333333333,2.37135685491099,1.36910351852752,5.89077699130204
"61","rom9","RAP+",0,3,0.0873333333333333,0.024704925284917,0.0142633952635564,0.0613704365662367
"62","rom9","RAP+",1,3,1.21333333333333,0.238607068908977,0.137759855465145,0.592732818167
"63","rom9","RAP+",2,3,10.4466666666667,2.23388301693113,1.28973296116332,5.54927304599723
"64","rom9","RAP+",3,3,27.6666666666667,2.55408170059874,1.47459975737298,6.34469067134874
"65","sub1","RAP-",0,3,0.103333333333333,0.00577350269189625,0.00333333333333333,0.0143421757658315
"66","sub1","RAP-",1,3,0.256666666666667,0.0416333199893227,0.0240370085030933,0.103422900250845
"67","sub1","RAP-",2,3,2.08333333333333,0.190875177362939,0.11020183503211,0.474160226324309
"68","sub1","RAP-",3,3,10.4,0.3,0.173205080756888,0.745241313525099
"69","sub1","RAP+",0,3,0.15,0.02,0.0115470053837925,0.0496827542350066
"70","sub1","RAP+",1,3,0.0103333333333333,0.0105039675043925,0.00606446846622008,0.0260933018006614
"71","sub1","RAP+",2,3,0.065,0.023388031127053,0.0135030860670194,0.0580990901263029
"72","sub1","RAP+",3,3,0.100333333333333,0.0452806065919322,0.0261427704049216,0.112483262445949
